Time,RPM1,RPM2,RPM3,RPM4,RPM5,RPM6,P,Q,R,Phi,Theta,Psi,Class
1,6050.968065,6024.227099,6048.647199,6073.067299,6099.808266,6075.388165,0.013328377,-0.129813865,0.025904359,-0.47354749,0.127105628,0.139329692,0
2,6034.299296,6030.97298,6060.354524,6089.736068,6093.062385,6063.68084,0.036549537,-0.122036699,0.02618571,-0.473205175,0.126100305,0.140143563,0
3,6019.609316,6036.887164,6070.656606,6104.426048,6087.148201,6053.378759,0.070700668,-0.110248996,0.026712409,-0.472580611,0.125183983,0.140915374,0
4,6006.654162,6042.07219,6079.726696,6117.381202,6081.963175,6044.308668,0.11410152,-0.095027584,0.027446216,-0.471574704,0.124390615,0.141629937,0
5,5995.219947,6046.617956,6087.716687,6128.815417,6077.417408,6036.318678,0.165160632,-0.076915576,0.028350874,-0.470104389,0.123749027,0.142274444,0
6,5985.119156,6050.603277,6094.759743,6138.916209,6073.432088,6029.275622,0.222381658,-0.056421316,0.029392261,-0.468101743,0.123283288,0.142838437,0
7,5976.187391,6054.097249,6100.972611,6147.847974,6069.938116,6023.062753,0.284368078,-0.034017795,0.030538523,-0.465513037,0.123013083,0.143313758,0
8,5968.280523,6057.16045,6106.457646,6155.754842,6066.874914,6017.577718,0.349826435,-0.010142483,0.031760155,-0.462297754,0.122954072,0.14369449,0
9,5961.272193,6059.845991,6111.304581,6162.763172,6064.189374,6012.730783,0.41756821,0.014802482,0.03303005,-0.458427576,0.123118245,0.143976862,0
10,5955.05162,6062.200432,6115.592088,6168.983744,6061.834933,6008.443276,0.486510472,0.040449796,0.034323527,-0.453885353,0.123514251,0.144159139,0
11,5949.521684,6064.264595,6119.389138,6174.513681,6059.77077,6004.646227,0.555675431,0.066466238,0.03561832,-0.448664072,0.124147718,0.144241485,0
12,5944.597234,6066.074268,6122.756199,6179.438131,6057.961096,6001.279165,0.624189013,0.0925517,0.036894551,-0.442765831,0.125021541,0.144225805,0
13,5940.203621,6067.660827,6125.746285,6183.831743,6056.374537,5998.289079,0.691278578,0.118438049,0.038134679,-0.43620083,0.126136157,0.144115571,0
14,5936.275399,6069.05178,6128.405873,6187.759966,6054.983584,5995.629491,0.756269883,0.143887839,0.03932343,-0.428986382,0.1274898,0.143915633,0
15,5932.755188,6070.271243,6130.77571,6191.280176,6053.764121,5993.259655,0.818583414,0.168692931,0.040447713,-0.421145961,0.12907873,0.143632022,0
16,5929.592687,6071.340359,6132.891518,6194.442677,6052.695005,5991.143846,0.877730162,0.192673018,0.041496523,-0.412708282,0.130897455,0.14327175,0
17,5926.743793,6072.277664,6134.784618,6197.291572,6051.7577,5989.250746,0.933306962,0.215674097,0.042460835,-0.40370643,0.132938935,0.14284261,0
18,5924.169841,6073.099409,6136.482466,6199.865524,6050.935955,5987.552898,0.98499146,0.237566905,0.04333348,-0.394177035,0.135194769,0.142352973,0
19,5921.836934,6073.819841,6138.009136,6202.198431,6050.215523,5986.026228,1.032536806,0.258245325,0.04410903,-0.384159492,0.137655375,0.141811607,0
20,5919.715353,6074.451452,6139.385732,6204.320011,6049.583913,5984.649633,1.075766144,0.277624792,0.044783664,-0.373695248,0.140310164,0.141227488,0
21,5917.779045,6075.005191,6140.630755,6206.25632,6049.030173,5983.404609,1.114566964,0.2956407,0.045355037,-0.362827136,0.143147696,0.14060964,0
22,5916.005167,6075.49066,6141.760429,6208.030198,6048.544704,5982.274935,1.148885395,0.312246824,0.04582215,-0.351598768,0.146155837,0.139966984,0
23,5914.373693,6075.916276,6142.788974,6209.661672,6048.119088,5981.24639,1.178720486,0.327413765,0.046185215,-0.340053986,0.149321905,0.139308203,0
24,5912.867066,6076.289418,6143.728858,6211.168299,6047.745946,5980.306506,1.204118544,0.341127425,0.04644552,-0.328236376,0.152632808,0.138641624,0
25,5911.469894,6076.616555,6144.591013,6212.565471,6047.418809,5979.444351,1.225167567,0.353387526,0.046605307,-0.316188831,0.156075181,0.137975122,0
26,5910.168682,6076.90336,6145.385021,6213.866683,6047.132004,5978.650343,1.241991829,0.364206165,0.04666764,-0.303953174,0.159635508,0.137316041,0
27,5908.951599,6077.154805,6146.119285,6215.083765,6046.88056,5977.91608,1.254746651,0.373606428,0.046636286,-0.291569834,0.163300243,0.136671131,0
28,5907.808274,6077.375249,6146.80117,6216.227091,6046.660116,5977.234195,1.263613401,0.381621044,0.046515599,-0.279077572,0.167055918,0.136046502,0
29,5906.729612,6077.568514,6147.437134,6217.305753,6046.46685,5976.598231,1.268794742,0.388291115,0.046310409,-0.266513256,0.170889247,0.135447598,0
30,5905.707641,6077.737952,6148.032838,6218.327724,6046.297412,5976.002526,1.270510161,0.393664896,0.046025922,-0.253911682,0.17478722,0.134879179,0
31,5904.735372,6077.886501,6148.593247,6219.299993,6046.148864,5975.442118,1.268991805,0.397796641,0.045667619,-0.241305439,0.178737182,0.134345324,0
32,5903.806677,6078.016734,6149.122711,6220.228688,6046.01863,5974.912654,1.264480628,0.400745524,0.045241171,-0.228724806,0.182726913,0.13384944,0
33,5902.916184,6078.130911,6149.625046,6221.119181,6045.904453,5974.410318,1.257222856,0.402574623,0.044752355,-0.216197696,0.186744691,0.133394282,0
34,5902.059182,6078.231012,6150.103597,6221.976182,6045.804353,5973.931768,1.247466796,0.403349976,0.044206983,-0.20374962,0.190779345,0.132981984,0
35,5901.231544,6078.318771,6150.561296,6222.803821,6045.716594,5973.474069,1.235459972,0.403139715,0.043610834,-0.191403689,0.194820301,0.132614093,0
36,5900.429648,6078.39571,6151.000713,6223.605717,6045.639655,5973.034651,1.221446583,0.402013265,0.042969599,-0.179180638,0.19885762,0.132291613,0
37,5899.650321,6078.463163,6151.424103,6224.385044,6045.572201,5972.611261,1.205665294,0.400040622,0.042288827,-0.16709887,0.202882024,0.132015045,0
38,5898.89078,6078.5223,6151.833442,6225.144584,6045.513064,5972.201922,1.18834733,0.397291695,0.041573885,-0.155174524,0.206884912,0.13178444,0
39,5898.148586,6078.574146,6152.230462,6225.886778,6045.461218,5971.804902,1.169714878,0.393835728,0.040829918,-0.143421553,0.21085837,0.131599444,0
40,5897.4216,6078.6196,6152.616682,6226.613764,6045.415764,5971.418682,1.149979763,0.389740779,0.040061823,-0.131851825,0.214795178,0.131459348,0
41,5896.707948,6078.65945,6152.993434,6227.327417,6045.375914,5971.041931,1.129342399,0.385073275,0.039274225,-0.12047522,0.218688801,0.131363133,0
42,5896.005984,6078.694387,6153.361884,6228.02938,6045.340977,5970.673481,1.107990982,0.379897623,0.038471455,-0.109299752,0.222533382,0.131309523,0
43,5895.314269,6078.725017,6153.723056,6228.721095,6045.310347,5970.312308,1.086100917,0.374275883,0.037657543,-0.098331683,0.226323721,0.131297022,0
44,5894.631539,6078.75187,6154.077848,6229.403826,6045.283494,5969.957517,1.063834445,0.368267499,0.036836206,-0.087575651,0.230055264,0.131323959,0
45,5893.956685,6078.775413,6154.427046,6230.078679,6045.259952,5969.608318,1.041340465,0.361929083,0.036010849,-0.077034795,0.233724068,0.131388527,0
46,5893.288738,6078.796053,6154.77134,6230.746627,6045.239312,5969.264025,1.018754519,0.355314242,0.03518456,-0.066710882,0.237326783,0.131488819,0
47,5892.626844,6078.814148,6155.111334,6231.40852,6045.221216,5968.92403,0.996198921,0.348473463,0.034360118,-0.056604434,0.240860614,0.131622858,0
48,5891.970259,6078.830012,6155.447559,6232.065106,6045.205352,5968.587805,0.973783023,0.341454023,0.033539998,-0.046714853,0.244323297,0.131788627,0
49,5891.318327,6078.843921,6155.780479,6232.717037,6045.191444,5968.254885,0.951603576,0.33429995,0.032726381,-0.03704054,0.247713057,0.131984094,0
50,5890.670475,6078.856114,6156.110502,6233.36489,6045.17925,5967.924862,0.92974519,0.327052009,0.031921162,-0.027579017,0.251028583,0.132207236,0
51,5890.0262,6078.866805,6156.437985,6234.009165,6045.16856,5967.59738,0.908280872,0.319747724,0.031125969,-0.018327037,0.254268986,0.132456055,0
52,5889.38506,6078.876177,6156.763241,6234.650304,6045.159187,5967.272124,0.88727261,0.31242142,0.030342171,-0.009280693,0.257433768,0.132728597,0
53,5888.74667,6078.884394,6157.086544,6235.288694,6045.150971,5966.94882,0.866772017,0.305104289,0.029570896,-0.000435519,0.260522786,0.133022963,0
54,5888.11069,6078.891598,6157.408136,6235.924674,6045.143767,5966.627228,0.846820998,0.297824482,0.028813049,0.008213411,0.263536221,0.13333732,0
55,5887.476823,6078.897913,6157.728227,6236.558541,6045.137451,5966.307137,0.82745244,0.290607205,0.028069323,0.016671398,0.266474544,0.13366991,0
56,5886.844809,6078.90345,6158.047003,6237.190556,6045.131914,5965.988362,0.808690913,0.28347484,0.027340222,0.02494403,0.269338482,0.134019057,0
57,5886.214419,6078.908304,6158.364625,6237.820946,6045.12706,5965.670739,0.790553375,0.276447069,0.02662607,0.03303711,0.272128993,0.134383167,0
58,5885.585452,6078.91256,6158.681236,6238.449912,6045.122804,5965.354128,0.773049866,0.269541011,0.025927037,0.040956579,0.274847233,0.134760739,0
59,5884.957735,6078.916291,6158.996961,6239.07763,6045.119073,5965.038404,0.756184196,0.262771359,0.025243144,0.048708461,0.27749453,0.135150357,0
60,5884.331111,6078.919562,6159.311908,6239.704253,6045.115802,5964.723457,0.739954609,0.25615053,0.024574289,0.056298799,0.28007236,0.135550695,0
61,5883.705447,6078.92243,6159.626174,6240.329917,6045.112934,5964.409191,0.724354429,0.249688808,0.023920256,0.063733607,0.282582319,0.135960516,0
62,5883.080625,6078.924944,6159.939842,6240.95474,6045.11042,5964.095522,0.709372672,0.243394494,0.023280729,0.071018824,0.285026108,0.136378668,0
63,5882.45654,6078.927149,6160.252987,6241.578825,6045.108216,5963.782378,0.694994637,0.237274055,0.022655311,0.078160273,0.287405503,0.136804084,0
64,5881.833101,6078.929081,6160.565672,6242.202263,6045.106283,5963.469692,0.68120246,0.231332265,0.022043531,0.085163631,0.289722344,0.137235775,0
65,5881.210229,6078.930775,6160.877955,6242.825135,6045.104589,5963.157409,0.667975635,0.225572351,0.021444859,0.092034395,0.291978513,0.13767283,0
66,5880.587855,6078.932261,6161.189885,6243.44751,6045.103104,5962.845479,0.6552915,0.219996134,0.020858718,0.098777864,0.29417592,0.13811441,0
67,5879.965916,6078.933563,6161.501506,6244.069449,6045.101801,5962.533859,0.64312569,0.214604158,0.020284493,0.105399113,0.29631649,0.138559744,0
68,5879.344359,6078.934705,6161.812855,6244.691006,6045.10066,5962.222509,0.631452549,0.209395823,0.019721541,0.111902981,0.298402146,0.139008127,0
69,5878.723137,6078.935706,6162.123967,6245.312228,6045.099659,5961.911398,0.620245516,0.204369512,0.019169199,0.118294062,0.300434802,0.13945891,0
70,5878.102208,6078.936583,6162.43487,6245.933156,6045.098781,5961.600495,0.609477466,0.199522704,0.018626796,0.124576691,0.302416352,0.139911503,0
71,5877.481537,6078.937353,6162.74559,6246.553827,6045.098012,5961.289774,0.599121024,0.194852088,0.018093653,0.130754945,0.304348658,0.140365363,0
72,5876.861092,6078.938027,6163.05615,6247.174273,6045.097337,5960.979214,0.589148843,0.190353672,0.017569098,0.136832636,0.306233547,0.140819995,0
73,5876.240844,6078.938618,6163.366569,6247.794521,6045.096746,5960.668795,0.579533853,0.186022878,0.017052464,0.142813318,0.308072803,0.141274948,0
74,5875.62077,6078.939137,6163.676866,6248.414595,6045.096228,5960.358499,0.570249477,0.181854641,0.016543099,0.148700285,0.309868157,0.141729808,0
75,5875.000848,6078.939591,6163.987054,6249.034517,6045.095773,5960.04831,0.561269817,0.177843489,0.016040368,0.154496576,0.311621291,0.142184194,0
76,5874.381059,6078.93999,6164.297148,6249.654305,6045.095375,5959.738217,0.55256982,0.173983628,0.015543657,0.160204986,0.313333826,0.142637758,0
77,5873.761387,6078.940339,6164.607158,6250.273977,6045.095025,5959.428206,0.54412541,0.170269015,0.015052377,0.165828071,0.315007325,0.143090179,0
78,5873.141818,6078.940645,6164.917096,6250.893547,6045.094719,5959.118268,0.535913599,0.166693428,0.014565967,0.171368158,0.316643287,0.143541161,0
79,5872.522338,6078.940914,6165.22697,6251.513026,6045.094451,5958.808394,0.527912579,0.163250524,0.014083893,0.176827357,0.318243149,0.143990429,0
80,5871.902937,6078.941149,6165.536788,6252.132427,6045.094215,5958.498576,0.52010179,0.159933898,0.013605652,0.182207571,0.319808283,0.144437727,0
